task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
133	3d/b61c33	268471	BCFTOOLS_FILTER (DC)	COMPLETED	0	2024-06-18 14:08:11.906	5s	0ms	62.0%	4.6 MB	59.6 MB	158.8 KB	158.4 KB
134	f4/f12658	268472	BCFTOOLS_FILTER (PZ)	COMPLETED	0	2024-06-18 14:08:11.950	5s	0ms	59.7%	6.8 MB	260.6 MB	160.8 KB	159.9 KB
135	7d/3cceae	268473	BCFTOOLS_FILTER (MC)	COMPLETED	0	2024-06-18 14:08:11.987	5s	0ms	53.7%	4.1 MB	51.6 MB	161 KB	159.7 KB
107	90/6d78c3	268448	STRELKA_ONESAMPLE (JC-strelka)	COMPLETED	0	2024-06-18 14:07:26.990	54.9s	50s	36.2%	55.7 MB	530.3 MB	65.1 MB	2.1 MB
111	f5/4cac8d	268449	STRELKA_ONESAMPLE (PV-strelka)	COMPLETED	0	2024-06-18 14:07:27.030	54.9s	50s	30.7%	55.6 MB	530.3 MB	66.7 MB	2.2 MB
136	33/53215b	268474	BCFTOOLS_FILTER (VM)	COMPLETED	0	2024-06-18 14:08:12.025	10s	1s	13.5%	3 MB	51.4 MB	160.4 KB	161.3 KB
137	55/d4ba7f	268475	BCFTOOLS_FILTER (PM)	COMPLETED	0	2024-06-18 14:08:12.066	10s	1s	12.5%	4.1 MB	51.6 MB	161.8 KB	160.9 KB
138	a1/60304f	268476	BCFTOOLS_FILTER (PP)	COMPLETED	0	2024-06-18 14:08:12.104	10s	0ms	53.0%	1.9 MB	14.7 MB	162.5 KB	159.5 KB
139	3a/657fe6	268477	BCFTOOLS_FILTER (RQ)	COMPLETED	0	2024-06-18 14:08:12.148	10s	0ms	50.0%	1.9 MB	14.7 MB	160.9 KB	159.1 KB
118	2b/bd7cc7	268454	STRELKA_ONESAMPLE (AL-strelka)	COMPLETED	0	2024-06-18 14:07:31.901	55.4s	50s	33.9%	55.6 MB	530.3 MB	60.1 MB	2.1 MB
140	bc/53cbc2	268478	BCFTOOLS_FILTER (NS)	COMPLETED	0	2024-06-18 14:08:12.187	15.4s	0ms	65.2%	4.4 MB	51.6 MB	160.7 KB	160.4 KB
142	56/f7caaa	268481	BCFTOOLS_FILTER (KV)	COMPLETED	0	2024-06-18 14:08:16.942	10.7s	0ms	53.3%	4.4 MB	51.6 MB	161.5 KB	160.9 KB
146	83/edd53d	268584	BCFTOOLS_FILTER (JC)	COMPLETED	0	2024-06-18 14:08:21.956	5.9s	0ms	59.3%	4.1 MB	51.6 MB	160.7 KB	160.7 KB
147	5e/920d2b	268585	BCFTOOLS_FILTER (PV)	COMPLETED	0	2024-06-18 14:08:22.031	6.1s	0ms	50.6%	4.6 MB	59.6 MB	161.4 KB	161.2 KB
68	a4/99467c	268408	DEEPVARIANT_ONESAMPLE (DC-deepVariant)	COMPLETED	0	2024-06-18 14:06:52.028	1m 40s	55.9s	185.0%	1.9 GB	15.9 GB	770.9 MB	199 MB
72	6d/e9551f	268409	DEEPVARIANT_ONESAMPLE (PZ-deepVariant)	COMPLETED	0	2024-06-18 14:06:52.067	1m 40s	54.8s	183.3%	1.9 GB	14.6 GB	775.6 MB	199.1 MB
75	e2/9ebd12	268410	DEEPVARIANT_ONESAMPLE (ML-deepVariant)	COMPLETED	0	2024-06-18 14:06:52.103	1m 40s	55.1s	177.4%	1.9 GB	17 GB	773.5 MB	199 MB
80	5d/a8811c	268419	DEEPVARIANT_ONESAMPLE (MC-deepVariant)	COMPLETED	0	2024-06-18 14:06:56.943	1m 35s	56.4s	176.6%	1.9 GB	15.4 GB	772.5 MB	199.2 MB
85	03/38b6ef	268422	DEEPVARIANT_ONESAMPLE (VM-deepVariant)	COMPLETED	0	2024-06-18 14:07:06.913	1m 25s	56.6s	180.0%	1.9 GB	15.9 GB	790.8 MB	199.2 MB
90	41/dab935	268428	DEEPVARIANT_ONESAMPLE (PM-deepVariant)	COMPLETED	0	2024-06-18 14:07:07.215	1m 25s	56.3s	170.4%	1.8 GB	15.9 GB	746.7 MB	199.1 MB
91	7d/906047	268430	DEEPVARIANT_ONESAMPLE (PP-deepVariant)	COMPLETED	0	2024-06-18 14:07:07.288	1m 25s	53.9s	184.9%	1.9 GB	14.5 GB	740.4 MB	199.2 MB
98	19/eb1686	268433	DEEPVARIANT_ONESAMPLE (RQ-deepVariant)	COMPLETED	0	2024-06-18 14:07:11.868	1m 20s	54.7s	172.8%	1.9 GB	14.6 GB	749.4 MB	199 MB
100	bb/fab18f	268440	DEEPVARIANT_ONESAMPLE (NS-deepVariant)	COMPLETED	0	2024-06-18 14:07:12.120	1m 20s	55.9s	184.3%	1.9 GB	16 GB	802.8 MB	199.2 MB
104	a4/a18076	268441	DEEPVARIANT_ONESAMPLE (KV-deepVariant)	COMPLETED	0	2024-06-18 14:07:21.868	1m 10s	55.4s	176.1%	1.8 GB	16 GB	757.5 MB	199.1 MB
