Sample	QualiMap_mqc_generalstats_qualimap_avg_gc	QualiMap_mqc_generalstats_qualimap_median_insert_size	QualiMap_mqc_generalstats_qualimap_mqc_1_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_5_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_10_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_30_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_50_x_pc	QualiMap_mqc_generalstats_qualimap_median_coverage	QualiMap_mqc_generalstats_qualimap_mean_coverage	QualiMap_mqc_generalstats_qualimap_general_error_rate	QualiMap_mqc_generalstats_qualimap_percentage_aligned	QualiMap_mqc_generalstats_qualimap_mapped_reads	QualiMap_mqc_generalstats_qualimap_total_reads	Samtools: flagstat_mqc_generalstats_samtools_flagstat_flagstat_total_1	Samtools: flagstat_mqc_generalstats_samtools_flagstat_mapped_passed_1	Samtools: flagstat_mqc_generalstats_samtools_flagstat_mapped_passed_pct_1	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
72.qualimap	37.74865936115645	103	100.0	100.0	100.0	100.0	100.0	332														
72.sort									373.9714	0.13999999999999999	98.82255600814665	0.093162	0.094272									
72_S28.R1																	83.27404409415273	38.0	107.02121631696666	107	18.181818181818183	0.046945
72_S28.R2																	83.33368835871765	38.0	109.064373202684	107	18.181818181818183	0.046945
73														0.099684	0.099383	99.7						
73.qualimap	37.98219431864965	104	100.0	100.0	100.0	100.0	100.0	377														
73.sort									423.7872	0.19	99.69804582480639	0.099383	0.099684									
73_S29.R1																	88.84017858946646	38.0	108.26857108224408	107	9.090909090909092	0.049498999999999994
73_S29.R2																	88.90684660296168	38.0	109.47320147881776	107	18.181818181818183	0.049498999999999994
74														0.088867	0.085538	96.25						
74.qualimap	37.723291099640214	103	100.0	100.0	100.0	100.0	99.72326370291019	250														
74.sort									278.8335	0.16	96.25395253581195	0.085538	0.088867									
74_S30.R1																	70.1907826165768	39.0	102.60286853672905	102	36.36363636363637	0.044134
74_S30.R2																	69.71949064213533	39.0	103.85403543753115	102	36.36363636363637	0.044134
75														0.09987299999999999	0.09951	99.64						
75.qualimap	38.120334952961855	104	100.0	100.0	100.0	100.0	100.0	373														
75.sort									421.7566	0.13	99.63653840377279	0.09951	0.09987299999999999									
75_S31.R1																	88.34164588528678	38.0	108.14956560212373	107	18.181818181818183	0.049724
75_S31.R2																	88.38589011342611	38.0	109.4398680717561	107	18.181818181818183	0.049724
76														0.11835899999999999	0.11780499999999999	99.53						
76.qualimap	38.08751211774037	104	100.0	100.0	100.0	100.0	100.0	447														
76.sort									494.5643	0.15	99.53193251041324	0.11780499999999999	0.11835899999999999									
76_S32.R1																	87.66813858695652	38.0	108.20512907608696	107	18.181818181818183	0.058879999999999995
76_S32.R2																	87.47282608695652	38.0	109.3274116847826	107	18.181818181818183	0.058879999999999995
77														0.10081699999999999	0.10032999999999999	99.52						
77.qualimap	38.23120950323974	104	100.0	100.0	100.0	100.0	100.0	360														
77.sort									403.4638	0.19	99.51694654671334	0.10032999999999999	0.10081699999999999									
77_S33.R1																	84.07545514367186	38.0	106.95158427884903	107	18.181818181818183	0.050149
77_S33.R2																	84.0515264511755	38.0	108.86508205547469	107	27.27272727272727	0.050149
78														0.120387	0.11967499999999999	99.41						
78.qualimap	38.32654957717683	103	100.0	100.0	100.0	100.0	100.0	422														
78.sort									469.5108	0.19	99.40857401546678	0.11967499999999999	0.120387									
78_S34.R1																	82.90361365306259	38.0	106.33770289225836	107	9.090909090909092	0.059884
78_S34.R2																	82.91864270923786	38.0	108.24388818382205	107	18.181818181818183	0.059884
79														0.094493	0.09417299999999999	99.66						
79.qualimap	37.897345522634666	104	100.0	100.0	99.99553651133726	99.95982860203534	99.93304767005891	360														
79.sort									396.1616	0.24	99.66135057623316	0.09417299999999999	0.094493									
79_S35.R1																	87.39110988051372	38.0	108.9323763072139	107	18.181818181818183	0.046951
79_S35.R2																	87.52103256586653	38.0	109.80941832974804	107	18.181818181818183	0.046951
80														0.11387499999999999	0.11308	99.3						
80.qualimap	38.17704011065007	103	100.0	100.0	100.0	100.0	100.0	366														
80.sort									410.1531	0.13999999999999999	99.30186608122942	0.11308	0.11387499999999999									
80_S36.R1																	77.68720714348864	38.0	106.82901600212183	107	18.181818181818183	0.056554999999999994
80_S36.R2																	77.56873839625143	38.0	107.80157368932898	107	18.181818181818183	0.056554999999999994
81														0.13313999999999998	0.132723	99.69						
81.qualimap	38.0243172752378	104	100.0	100.0	100.0	100.0	100.0	524														
81.sort									568.6912	0.16	99.68679585398829	0.132723	0.13313999999999998									
81_S37.R1																	90.03110091189082	38.0	108.77492602210279	107	18.181818181818183	0.066236
81_S37.R2																	89.94504499063953	38.0	109.16151337641162	107	18.181818181818183	0.066236
82														0.10148199999999999	0.101147	99.67						
82.qualimap	38.153950527084874	104	100.0	100.0	100.0	99.98214604534904	99.93304767005891	382														
82.sort									417.988	0.24	99.6698921976311	0.101147	0.10148199999999999									
82_S38.R1																	86.37534680935394	38.0	108.21549742370195	107	18.181818181818183	0.05046
82_S38.R2																	86.27031311930241	38.0	109.52497027348394	107	18.181818181818183	0.05046
83														0.09533	0.09514099999999999	99.8						
83.qualimap	38.00639682364617	104	100.0	100.0	99.99107302267453	99.93304767005891	99.93304767005891	363														
83.sort									395.6526	0.22	99.80174131962656	0.09514099999999999	0.09533									
83_S39.R1																	86.44908120424482	38.0	108.42308909470664	107	9.090909090909092	0.047399
83_S39.R2																	86.37523998396591	38.0	110.12880018565792	107	18.181818181818183	0.047399
84														0.09483	0.094625	99.78						
84.qualimap	38.031038687506936	104	100.0	100.0	100.0	100.0	100.0	362														
84.sort									393.588	0.19	99.78382368448803	0.094625	0.09483									
84_S40.R1																	86.26366641240783	38.0	109.28457920162725	107	9.090909090909092	0.047195999999999995
84_S40.R2																	86.27214170692432	38.0	110.21758199847444	107	18.181818181818183	0.047195999999999995
85														0.08920199999999999	0.08898099999999999	99.75						
85.qualimap	37.95566902634328	104	100.0	100.0	100.0	100.0	100.0	346														
85.sort									375.7445	0.19	99.75224770745051	0.08898099999999999	0.08920199999999999									
85_S41.R1																	87.37945020279405	38.0	108.52429022082019	107	18.181818181818183	0.044379999999999996
85_S41.R2																	87.38621000450654	38.0	109.56415051825147	107	18.181818181818183	0.044379999999999996
86														0.11187599999999999	0.111426	99.6						
86.qualimap	38.33131332260202	102	100.0	100.0	100.0	100.0	100.0	418														
86.sort									460.8523	0.13999999999999999	99.59776895848975	0.111426	0.11187599999999999									
86_S42.R1																	88.25121431003889	38.0	104.63429104009464	102	18.181818181818183	0.055792999999999995
86_S42.R2																	88.05584930009141	38.0	106.68026454931622	102	18.181818181818183	0.055792999999999995
87														0.134956	0.134482	99.65						
87.qualimap	37.993254095727586	102	100.0	100.0	100.0	100.0	100.0	483														
87.sort									543.9207	0.18	99.64877441536501	0.134482	0.134956									
87_S43.R1																	86.64898846944553	38.0	106.33980871793344	102	9.090909090909092	0.06712599999999999
87_S43.R2																	86.58492983344755	38.0	107.43293209784584	107	18.181818181818183	0.06712599999999999
AL														0.382494	0.38054899999999997	99.49						
AL.qualimap	38.111120660020624	102	100.0	100.0	100.0	100.0	100.0	1344														
AL.sort									1525.3262	0.37	99.49149529142942	0.38054899999999997	0.382494									
AL_S9.R1																	87.33284411806629	38.0	106.63339474920679	102	18.181818181818183	0.189419
AL_S9.R2																	79.75229517630227	38.0	110.10593446275189	107	27.27272727272727	0.189419
DC														0.527076	0.524434	99.5						
DC.qualimap	38.100787401574806	102	100.0	100.0	100.0	100.0	100.0	1942														
DC.sort									2163.8155	0.31	99.49874401414597	0.524434	0.527076									
DC_S14.R1																	88.82395602717764	38.0	106.96785250782503	107	18.181818181818183	0.26198
DC_S14.R2																	81.78715932513933	38.0	110.41039774028552	107	27.27272727272727	0.26198
JC														0.516544	0.513193	99.35						
JC.qualimap	37.94968263820756	103	100.0	100.0	100.0	100.0	99.99107302267453	1956														
JC.sort									2180.5885	0.49	99.35126533267254	0.513193	0.516544									
JC_S13.R1																	91.58530479409188	38.0	108.52301211040181	107	18.181818181818183	0.255648
JC_S13.R2																	81.14634184503693	38.0	113.11937116660408	112	18.181818181818183	0.255648
